db,schema,table,row_count,bytes,n_cols,n_numeric,n_date,signals
LIBRARY_RAW,LANDING,FED_DEA_ARCOS_FULL,178598026,6215635456,45,0,1,address|city|count_meas|county|date_col|entity_id|flag_bool|name_id|origin|seq_order|severity|state|zip
LIBRARY_MARTS,HEALTH,HEALTH__FED_DEA_ARCOS,178598026,4220975104,33,6,2,city|count_meas|county|date_col|name_id|origin|seq_order|severity|state|zip
LIBRARY_MARTS,_RESTORE_20260731,UNCATEGORIZED__FED_DEA_ARCOS_FULL,178598026,5853900288,42,3,1,address|city|count_meas|county|date_col|entity_id|flag_bool|name_id|seq_order|severity|state|zip
LIBRARY_RAW,LANDING,FED_FEC_INDIV_CONTRIBUTIONS,84172112,2819981824,24,1,0,amount|city|count_meas|date_col|name_id|origin|severity|state|zip
LIBRARY_MARTS,FINANCE,FINANCE__FED_FEC_INDIV_CONTRIBUTIONS,84172112,2835296256,15,2,1,amount|city|count_meas|date_col|name_id|severity|state|zip
LIBRARY_RAW,LANDING,FED_COURTLISTENER_DOCKETS,71677647,6832513024,57,0,1,amount|count_meas|date_col|dest|entity_id|name_id|origin|rate_meas|severity
LIBRARY_RAW,LANDING,FED_NOAA_AIS,58106517,1510587392,22,1,0,date_col|lat|lon|origin|severity
LIBRARY_MARTS,MARITIME,MARITIME__FED_NOAA_AIS,58104610,2474664448,27,10,4,date_col|geom|lat|lon|name_id|origin|severity
LIBRARY_RAW,LANDING,FED_CMS_FACILITY_LEVEL_MINIMUM_DATA_SET_FREQUENCY,31403215,820651008,18,0,1,city|count_meas|county|date_col|entity_id|fips|name_id|origin|rate_meas|severity|state|zip
LIBRARY_MARTS,HEALTH,HEALTH__FED_CMS_FACILITY_LEVEL_MINIMUM_DATA_SET_FREQUENCY,31403215,214985216,16,3,1,city|count_meas|county|date_col|entity_id|fips|name_id|rate_meas|severity|state|zip
LIBRARY_RAW,LANDING,FED_FEMA_IA_HOUSING_REGISTRATIONS,21730000,1746891264,103,0,0,amount|count_meas|county|date_col|dest|entity_id|fips|origin|person|rate_meas|severity
LIBRARY_RAW,LANDING,FED_FDA_FAERS_DRUG,20914284,188665856,25,0,1,amount|count_meas|date_col|origin|seq_order
LIBRARY_RAW,LANDING,FED_FDA_FAERS_REAC,20621386,58727936,8,0,1,date_col|origin
LIBRARY_RAW,LANDING,FED_USASPENDING_CONTRACTS_FULL,20000000,5998015488,300,0,1,address|amount|city|count_meas|country|county|date_col|dest|entity_id|fips|flag_bool|naics_sic|name_id|origin|outcome|person|rate_meas|seq_order|severity|state|zip
